"part","term","statistic","detrend Linear Reg US","no quadratic detrend Linear Reg US","time first difference US","no quadratic detrend time first difference US","detrend Linear Reg JPN","no quadratic detrend Linear Reg JPN","time first difference JPN","no quadratic time first difference JPN"
"estimates","Constant","estimate","17.46","1.07","-0.03","0.01","-13.60","-0.76","0.00","0.00"
"estimates","Constant","std.error","(19.40)","(2.79)","(0.03)","(0.02)","(183.24)","(1.54)","(0.01)","(0.01)"
"estimates","log gdp per capita","estimate","1.02","0.04","","","-2.61","0.00","",""
"estimates","log gdp per capita","std.error","(1.41)","(0.03)","","","(35.72)","(0.03)","",""
"estimates","square  of log gdp per capita ","estimate","0.04","","","","-0.13","","",""
"estimates","square  of log gdp per capita ","std.error","(0.06)","","","","(1.76)","","",""
"estimates","year","estimate","-0.01","-0.00","","","0.00","0.00","",""
"estimates","year","std.error","(0.01)","(0.00)","","","(0.00)","(0.00)","",""
"estimates","Δlog gdp per capita","estimate","","","0.30","0.01","","","-0.01","-0.01"
"estimates","Δlog gdp per capita","std.error","","","(0.22)","(0.08)","","","(0.11)","(0.02)"
"estimates","Δsquare of log gdp per capita","estimate","","","-0.50","","","","-0.01",""
"estimates","Δsquare of log gdp per capita","std.error","","","(0.37)","","","","(0.44)",""
"gof","Num.Obs.","","9","9","8","8","6","6","5","5"
"gof","R2","","0.921","0.898","0.425","0.010","0.486","0.333","0.146","0.144"
"gof","R2 Adj.","","0.874","0.864","0.195","-0.155","-0.286","-0.112","-0.708","-0.142"
"gof","AIC","","-55.1","-54.8","-46.1","-43.8","-33.5","-33.9","-24.7","-26.7"
"gof","BIC","","-54.1","-54.0","-45.8","-43.6","-34.5","-34.8","-26.3","-27.9"
"gof","RMSE","","0.007","0.007","0.008","0.01","0.006","0.007","0.009","0.009"
